,title,title_lower,review,sentiment
20,The Staircase,the staircase,"Colin Firth, who has played gay numerous times before, has never been so simultaneously sexy and scary.",1
21,The Staircase,the staircase,"True crime has come a long way from the cheap, lurid days of America’s Most Wanted. The Staircase, starring Colin Firth and Toni Collette, has the posh cast and opulent production values that showcase the genre’s evolution.",1
22,The Staircase,the staircase,"As Kathleen, a high-flying executive who appears to be falling out of love with her husband, Toni Collette gives convincing voice to a woman who was little more than a series of gruesome forensic photographs in the doc.",1
23,The Staircase,the staircase,A batch of powerful performances help to lend this fantastical tale plenty of dramatic gravitas.,1
24,The Staircase,the staircase,"Though the documentary about the case, also called The Staircase, is also addictively good, the Firth version is even better.",1
25,The Staircase,the staircase,"Intriguing, absorbing, raw, and fascinating… One of the best true crime miniseries we’ll see this year. [Full review in Spanish]",1
26,The Staircase,the staircase,"There’s much that’s dark and even grisly in The Staircase, but it is more ambitious and textured than most crime dramas, owing to the high bar set by de Lestrade’s documentary, a landmark legal thriller.",1
27,The Staircase,the staircase,"Yep, television has officially eaten itself.",0
28,The Staircase,the staircase,"A true genre exercise with a narrative that escapes the temptation of sensationalism, yellow journalism, and morbidity.",1
29,The Staircase,the staircase,"Under the direction of creator Antonio Campos, “The Staircase” is a richer portrait of unbalanced psyches entangled in a web of multiple schemes.",1
30,The Staircase,the staircase,This nonlinear reexamination is as much about a possible murder as it is society’s insidious fascination with horrible tragedies.,1
31,The Staircase,the staircase,"What if we asked instead why we form such intense attachments to people we can never truly know, or how a medium influences its message? They're issues that apply well beyond a single case...",1
32,The Staircase,the staircase,"Michael and Kathleen are played by Colin Firth and Toni Collette, respectively, two well-distinguished actors who shine brightly and play well off of each other.",1
33,The Staircase,the staircase,There's a lot to like about this series.,1
34,The Staircase,the staircase,"As a whole, The Staircase is a worthwhile watch, mainly for the performances by Firth, Posey and Collette. But you might get more satisfying information about the Peterson case by watching the documentary or docuseries.",1
35,The Staircase,the staircase,The Staircase winds up being a meta-text more than a murder mystery --and it’s a riveting one.,1
36,The Staircase,the staircase,"Colin Firth plays Michael Peterson and does it with a rare kind of skill. If you think the case has been mined enough already, your mind is changed by Firth’s extraordinary subtlety as a man of many secrets and delusions.",1
37,The Staircase,the staircase,"The Staircase... defies expectations, adding new perspective and dimension to a well-known story while creating an experience that differs from the docuseries.",1
38,The Staircase,the staircase,"Colin Firth burns with intensity in this true-crime series that keeps you guessing if a bisexual novelist, politician, former marine and frequent liar pushed his wife (Toni Collette) to her death down the family staircase or whether she fell by accident.",1
39,The Staircase,the staircase,"If The Staircase (in all its iterations) embodies exploitative true crime trashiness, then I am its garbage disposal...",1
40,The Staircase,the staircase,"If you didn’t know it was true, you wouldn’t believe it.",1
41,The Staircase,the staircase,"Despite the series’ predictability, the rabbit-hole appeal of the original story should keep plenty of viewers watching.",1
42,The Staircase,the staircase,The drama is compelling for the same reason the documentary was compelling...,1
43,The Staircase,the staircase,"As Michael Peterson, Colin Firth manages to make us think he’s guilty as hell one minute, and possibly innocent the next. Toni Collette is touching as Kathleen.",1
44,The Staircase,the staircase,"Although there are still moments of something that skews uncomfortably close to fandom, revelations about the making of The Staircase cast everything that came before in a new light.",1
45,The Staircase,the staircase,"In this well-written series, Firth expertly plays a duplicitous man whose discovery of his wife’s body casts suspicion on him and divides his family.",1
46,The Staircase,the staircase,"While the episodes occasionally grind too slowly, Colin Firth's riveting work as the hard-to-read suspect elevates this HBO Max limited series several steps above standard true-crime fare.",1
47,The Staircase,the staircase,"[Colin] Firth plays [Michael] with aplomb, but [Toni] Collette’s portrayal of Kathleen truly shines.",1
48,The Staircase,the staircase,One might accuse the show of trying to have it both ways -- decrying our media culture of rapacious violence while indulging in it -- if both halves weren’t so carefully made and so probingly curious.,1
49,The Staircase,the staircase,"It’s also a reminder of the genius of Colin Firth, who, as Michael Peterson, is at the center of the show and holds it expertly. It’s a cliché to say that an actor disappears into his role, but there it is",1
50,The Staircase,the staircase,"It’s a pro job. But if you’re interested in the facts behind the fact-based fiction, there is little new to learn.",1
51,The Staircase,the staircase,"Led by an excellent Colin Firth, The Staircase is telly at its best.",1
52,The Staircase,the staircase,"In the end, its pleasures are rather cerebral, less a whodunit than a story about telling stories — and the omissions in hopeful service of a greater truth.",1
53,The Staircase,the staircase,"Don’t be afraid of this dramatization of your baby, true crime fans. The Staircase is in good hands.",1
54,The Staircase,the staircase,"The smartest aspect of ""Staircase"" is that Campos makes the original documentary a part of its plot.",1
55,The Staircase,the staircase,"The whole show revolves around Firth, who hasn't been this good since the film A Single Man.",1
56,The Staircase,the staircase,"Mr. Firth and Ms. Collette, as the loving couple who may have hated each other, are playing complex characters with Emmy-worthy aplomb.",1
57,The Staircase,the staircase,"The Staircase is both a masterful moment for an assured filmmaker, and it's the jolt that the true crime storytelling industry needs.",1
58,The Staircase,the staircase,"The problem is, in a good fictional crime story, the writers and directors feel a sense of responsibility to make you care. Here, there’s an underlying assumption that we’ll care, and that assumption leads to plodding, stultifying drama.",0
59,The Staircase,the staircase,"Though this drama tries and fails to reach the same heights as its predecessor, it nevertheless makes for gripping viewing.",1
60,The Staircase,the staircase,"The Staircase is intensely concerned with not just the mystery at hand, but with the mystery of all people, maybe all of life. Campos, who directed six episodes and ran the show with Maggie Cohn, fills the series with small and tantalizing detail.",1
61,The Staircase,the staircase,"It's not often that a dramatization of something that people already know about is told in such a nuanced way, but there truly is something for everyone here.",1
62,The Staircase,the staircase,"While it may not break any new ground in terms of style or content, it is an absolutely engaging series that will hold your interest and showcases a central performance by Firth that reminds us he is still one of the most capable actors working today.",1
63,The Staircase,the staircase,"It speaks well for the show that even after having watched this story for 13 unscripted hours, I still have plenty left I want to see here.",1
64,The Staircase,the staircase,"The cast here isn’t just uniformly excellent; it functions as a single organism, bending and breaking as a unit, from the stars to the bit players.",1
65,The Staircase,the staircase,"You may know how everything turns out. You may not. Either way, the truth is so elusive here, and ""The Staircase"" so expertly made, you'll be hooked.",1
66,The Staircase,the staircase,"Campos brings visual panache to the project, but can never quite surmount the old aphorism that truth is stranger than fiction.",0
67,The Staircase,the staircase,"Even as close as the documentary came in its pursuit of real answers, The Staircase doesn't offer much clarity beyond that, with no obvious answer amidst a legion of inscrutable mysteries that may never be unraveled.",1
68,The Staircase,the staircase,"It’s full of tricky, complicated ambiguities that are often riveting and sometimes just baffling... This is a series that seems to admit that a lot of true crime, or at least this one, is really a no-win slow descent into a tragic morass.",1
69,The Staircase,the staircase,"The linchpin of this delicate portrayal is Colin Firth’s performance as Michael. Best known for playing romantic leads and other charismatic types, he disappears, here, into a far murkier character.",1
70,The Staircase,the staircase,"It’s more than a “did he do it?” mystery; it’s an indictment of the vagaries of the criminal justice system, the narcissism of abusive men, and most of all, through Collette, it gives Kathleen some much-needed humanity.",1
71,The Staircase,the staircase,"Perhaps the focus of future chapters will be tighter, but as far as the premiere episodes are concerned, youd be better off watching the documentary series first, before chasing it with Firths acting masterclass.",1
72,The Staircase,the staircase,Colin Firth And Toni Collette Are Equally Strong In This Expansion Of The True Crime Saga.,1
73,The Staircase,the staircase,"An intriguing and captivating miniseries that dives deeper than the documentary did. Twists and surprises are around every corner for those who don't know the story, but those who do will enjoy it as well.",1
74,Better Call Saul,better call saul,"The thrilling midseason finale brings two important characters to Jimmy’s doorstep, with their fates previewing where the series will go in its final episodes...",1
75,Better Call Saul,better call saul,It has remained faithful to that restrained rhythm... but the time has come to blow everything up. [Full review in Spanish],1
76,Better Call Saul,better call saul,Michael Mando truly rose to the occasion.,1
77,Better Call Saul,better call saul,You do feel like there's a trajectory. You do feel like it's coming to an end... It is a powerful show and very well put together.,1
78,Better Call Saul,better call saul,"While its choices may fall under new scrutiny once the seasons over, this episode is a staggering achievement, giving one character the showcase he deserves before the fate he cant outrun arrives.",1
79,Better Call Saul,better call saul,"Now in its final season, Better Call Saul remains just as expansively cinematic and claustrophobically tense as ever it was, with creators Vince Gilligan and Peter Gould still masters of their desert domain.",1
80,Better Call Saul,better call saul,"It’s clear the show runners are getting better and better at making great TV, while the actors slightly undermine the story by looking older now in the prequel than they did in the main series.",1
81,Better Call Saul,better call saul,"Vince Gilligan, Bob Odenkirk and company are firing on all cylinders in the AMC show’s final season...",1
82,Better Call Saul,better call saul,"To make a final season the best of a series is a near-impossible task, but by keeping this story level, consistent, and wonderfully written, this cast of characters takes a fairly straightforward story and makes it as intricate as any of Jimmys cons.",1
83,Better Call Saul,better call saul,Season six is yet another reminder that Better Call Saul has not only stepped out from under Breaking Bad‘s shadow but developed a confident identity as its own series chronicling the slow and steady demise of its protagonists.,1
84,Better Call Saul,better call saul,"Everything that made its earlier seasons fantastic is here in season 6, only turned up to 11. The acting is still phenomenal, the writing is top-notch, the cinematography remains stunning yet understated, and the subtle touches and motifs are all there.",1
85,Better Call Saul,better call saul,"It's still the most extraordinary, riveting drama on TV, substantially because of its emphasis on showing and implying before scripting what it's thinking.",1
86,Better Call Saul,better call saul,"The devil is in the details, but so is everything else. It’s a pleasure to be three steps behind.",1
87,Better Call Saul,better call saul,"Without wanting to sound grandiose, it is one of those shows that reminds you that you are observing not just entertainment, but an art form, as distinct and intricate as literature.",1
88,Better Call Saul,better call saul,"Better Call Saul stays the course at the beginning of its final season, building anticipation towards a finale that we know is just the beginning of a new story instead of the ending of the current one.",1
89,Better Call Saul,better call saul,"Amid the tension, rollicking dialogue and flashes of violence, Better Call Saul’s winning attribute continues to be its slow-burn consistency.",1
90,Better Call Saul,better call saul,"As the show nears its end, series creators Vince Gilligan and Peter Gould have established its credentials not only as a worthy sequel, but a great series in its own right.",1
91,Better Call Saul,better call saul,"One of Better Call Saul‘s most impressive qualities throughout its run has been its consistency, and that holds true in season six.",1
92,Better Call Saul,better call saul,"So far, Better Call Saul Season 6 belongs to Kim Wexler. And watching her moral fall is just as painful for us as it is for Jimmy.",1
93,Better Call Saul,better call saul,If only more movies could tell stories this gripping and ingenious about characters this complex!,1
94,Better Call Saul,better call saul,"Better Call Saul remains a well-plotted masterpiece, similar to Breaking Bad”for which “Saul” is a prequel, complete with unexpected twists and action sequences that a viewer might expect to go right but end up going left.",1
95,Better Call Saul,better call saul,"There are some terrifically enjoyable moments which not only showcase Saul’s craft as virtuoso manipulator and prevaricator, but Odenkirk’s own considerable talents.",1
96,Better Call Saul,better call saul,Within three minutes we’re reminded why this is one of the most visually creative series in television history.,1
97,Better Call Saul,better call saul,"Could ""Better Call Saul"" have been a love story all along?",1
98,Better Call Saul,better call saul,An all-time great comedic-drama that can now boast top-tier action and thriller scenes to its ever growing list of feats. There’s no better way to begin Better Call Saul’s closing chapter.,1
99,Better Call Saul,better call saul,"There’s a lot to unpack here, in a lot of ways, but it’s probably best to start by getting to the point: The new season, through the first two episodes released to critics, is good.",1
100,Better Call Saul,better call saul,"Six seasons in, Better Call Saul has grown into a climactic, character-driven drama whose greatness parallels that of Breaking Bad.",1
101,Better Call Saul,better call saul,We should thank our lucky stars to have lived in a time when Better Call Saul was airing.,1
102,Better Call Saul,better call saul,Inventing tantalizing new mysteries right as the end begins? Only the best artists pull a con like that.,1
103,Better Call Saul,better call saul,"It’s safe to say that “Better Call Saul” has lost none of its wit or nuance, picking up with the same level of quality that earned it the #1 place on this site’s list of the best TV of 2020.",1
104,Better Call Saul,better call saul,"Maybe the fact of its parts fitting together uneasily suggests it’s a harder task than its creators expected. Still and all, the show is urgently worth watching for Odenkirk and for Seehorn.",1
105,Better Call Saul,better call saul,"It’s the privilege of watching a series as well written, well made, and well acted as Better Call Saul that is the real takeaway here, and the work that went into making it possible is likely to be the show’s legacy.",1
106,Better Call Saul,better call saul,The descent of Jimmy McGill into Saul Goodman continues to be one of television's best character studies.,1
107,Better Call Saul,better call saul,The season premiere of Better Call Saul was worth the wait. It drops the viewer right back into the story without missing a beat and sets up a compelling last rite for Jimmy McGillSaul Goodman.,1
108,Better Call Saul,better call saul,"It will be sad to let the brilliance of ""Better Call Saul"" go, but it's already abundantly clear that the series is going to stick the landing, and conclude in a manner that will firmly ensconce ""Better Call Saul"" in the pantheon of all-time-great TV.",1
109,Breaking Bad,breaking bad,What more can you say about Breaking Bad at this point? It delivered the most anti-anti hero of a Golden Age of TV riddled with such characters.,1
110,Breaking Bad,breaking bad,"We all knew what was coming: it was just a matter of how we got there. In that, Breaking Bad nailed it, delivering a memorable final season and final episode that showed that people CAN change, even if it's too late.",1
111,Breaking Bad,breaking bad,The most finely crafted drama on television nailed the most spine-tingling series finale in modern TV.,1
112,Breaking Bad,breaking bad,This final batch of Breaking Bad is one of the best run of episodes TV has ever offered.,1
113,Breaking Bad,breaking bad,"A brilliant, maddening, shocking, all-consuming piece of storytelling that will never be forgotten by all those who saw it.",1
114,Breaking Bad,breaking bad,"With Season 5, few can argue that Breaking Bad is exiting at a creative peak, thanks to the triple nerve-frying episodes ""Rabid Dog"", ""To'hajiilee"", and ""Ozymandias.""",1
115,Breaking Bad,breaking bad,A final run of episodes that both matched and sometimes outdid what had come before artistically.,1
116,Breaking Bad,breaking bad,"With only fifteen episodes to go before the saga closes, we'll all have answers sooner than we hope. But for now, the journey is as intoxicating as it's ever been.",1
117,Breaking Bad,breaking bad,"The second half of season five had some great individual episodes, but felt slightly schematic. And the show's finale was maybe the most conventional of the entire series.",0
118,Breaking Bad,breaking bad,"For better or worse, this is where Breaking Bad's stunning, five-season story draws to a close.",1
119,Breaking Bad,breaking bad,"This wasn't a jaw-dropping finale, but that's largely because it was a jaw-dropped television show. Gilligan didn't save any rounds for the concluding episode. He emptied them as he went along.",1
120,Breaking Bad,breaking bad,"I can't shake the sense that ""Felina"" as a finale, and Breaking Bad as a whole, would have been more satisfying if it had been less satisfying.",0
121,Breaking Bad,breaking bad,"I wouldn't have had the finale go this way, but I wasn't ever watching Breaking Bad to have it go the way I wanted... It's art. It's complicated. I didn't really like it, but I still loved it.",1
122,Breaking Bad,breaking bad,"It's powerful television. It's a stunning ending. But is it a fitting conclusion to Breaking Bad?... To be sure, that's not the ending to the show I thought I was watching.",1
123,Breaking Bad,breaking bad,"This was certainly a fitting end to Breaking Bad. Taut, aggressive, mesmerizing. A bit loose in the plotting and logistics, but true and fair to its characters to the bitter end.",1
124,Breaking Bad,breaking bad,"A terrific, tense [premiere] directed by Cranston and written by Peter Gould that holds up to some astronomically high expectations.",1
125,Breaking Bad,breaking bad,"For five seasons Breaking Bad cooked up some the best drama on television, hands down, but unfortunately, for its final hurrah, we got an unsatisfying batch.",0
126,Breaking Bad,breaking bad,"Breaking Bad managed to be the sum of its parts, foregrounding compelling details involving the twisted nature of Walt's universe that made its reasonably tidy conclusion beside the point.",1
127,Breaking Bad,breaking bad,"Delivered everything that has been great about Breaking Bad. It had tension, pathos, brutality, emotion, humor, jaw-dropping shocks -- but also resolution.",1
128,Breaking Bad,breaking bad,"Enormously satisfying television, with thickly cinematic tension and psychological gamesmanship culminating in a shower of bullets and bloodshed.",1
129,Breaking Bad,breaking bad,"A void has been left in television, but my only hope is... that Breaking Bad inspires networks and writers to take risks and to aim as high as Walter White. Don't settle for 60 percent purity when audiences have tasted 97.",1
130,Breaking Bad,breaking bad,"Ultimately, Breaking Bad was a show about the pursuit of happiness -- and the unhappiness it can cause.",1
131,Breaking Bad,breaking bad,"Well Breaking Bad, that was damned perfect. Not that we should have expected any less.",1
132,Breaking Bad,breaking bad,A deeply satisfying and surprisingly emotional finale.,1
133,Breaking Bad,breaking bad,"For strength and purity of vision, for its unique calibration of its core character, Gilligan's magnum opus is unsurpassed.",1
134,Breaking Bad,breaking bad,"Fear not, they've pulled it off marvellously.",1
135,Breaking Bad,breaking bad,It was far and away the most tense I've ever been while watching a TV show.,1
136,Breaking Bad,breaking bad,"Now that Breaking Bad is coming to its harrowing, heart-stopping end, we can see it, steadily and whole, as a morally complex masterwork, maybe the best thing that's ever hit our TV screens.",1
137,Breaking Bad,breaking bad,"Not only did Vince Gilligan's five-season, hyper-violent prose poem to midlife male frustration tie up virtually every loose end in sight, it contained the Holy Grail of all storytelling: an Actual Moment of Truth.",1
138,Breaking Bad,breaking bad,"I didn't mind the lack of jaw-dropping surprises, because that slow unraveling made such perfect emotional sense.",1
139,Breaking Bad,breaking bad,"It has been almost perfectly executed -- precise in plot and vivid in character, with taut dialogue, mordant wit, and photography that's eerie and ordinary and beautiful in places.",1
140,Breaking Bad,breaking bad,"I line up diligently each Sunday, like a junkie twitching for her next fix, and I and my fellow addicts bask in 44 minutes of simply amazing television.",1
141,Breaking Bad,breaking bad,"This is a brilliant, incisive portrait of a familiar kind of stunted masculinity, albeit one made gothic and grotesque and frequently blackly comic.",1
142,Breaking Bad,breaking bad,"Fans were promised resolution for every character in the final eight episodes of Vince Gilligan's epic tale -- and that's exactly what they got. But along the way it proved to be a murderous, manic and mesmerizing ride.",1
143,Breaking Bad,breaking bad,"Breaking Bad is a series that eschews didacticism but remembers, as so many of the finest films of the 1970s did, that moral arguments are the most exciting ones audiences can have.",1
144,Breaking Bad,breaking bad,"Breaking Bad has been utterly electrifying television, weird, funny, emotionally rich and endlessly surprising. but in the end, the finale of this great American series turned out to be one of its lesser episodes.",1
145,Breaking Bad,breaking bad,Its creator Vince Gilligan's extraordinary storytelling that brings us to a dramatic zenith that is now completely character driven.,1
146,Breaking Bad,breaking bad,"Is the show a critique of the devastating potential of frontier masculinity or is it itself a masculine fantasy?... At this point, it seems that it wants to be both.",1
147,Breaking Bad,breaking bad,"It seemed like Vince Gilligan had set himself an impossible task delivering a satisfactory ending to this incredible series. But satisfy, it did.",1
148,Breaking Bad,breaking bad,"By season five, despite Breaking Bad's addictive qualities, the comedy's thinning out, and the ending of one particular episode is so shocking and distressing that it was weeks before I could bring myself to watch the next one.",1
149,Breaking Bad,breaking bad,"Breaking Bad's genius is in bringing us to the realisation that at its best, dramedy is a serious contemporary art form, and no laughing matter.",1
150,Breaking Bad,breaking bad,Dostoevsky in the desert -- an epic tragedy.,1
151,Breaking Bad,breaking bad,"Breaking Bad is a parable about entrepreneurship, the very basis of American capitalism. Entrepreneur eventually becomes corporation, which is what the entrepreneur wants, and with that, loses all humanity.",1
152,Breaking Bad,breaking bad,"Hell is where this show has landed: into the ""darkness visible"" that Milton describes in Paradise Lost, reigned over by the best, most credible, Lucifer ever to have appeared in pop culture.",1
153,Breaking Bad,breaking bad,The genius of Breaking Bad is that it retained every single aspect that made it great while constantly innovating and subverting its own mythology.,1
154,Breaking Bad,breaking bad,"I realised just how long I had been gritting my jaw and holding my head in my hands whilst watching for the past month, and to have it all just calmly end was the perfect release.",1
155,Breaking Bad,breaking bad,The second and third to last episodes of the series might be the two best in Breaking Bad history.,1
156,Breaking Bad,breaking bad,This is the end that Breaking Bad deserved. [Full Review in Spanish],1
157,Breaking Bad,breaking bad,We aren't so much suckers in our sympathy for Walt as paralyzed friends who can't quite believe a man we cared for could change so quickly or so thoroughly.,1
158,Breaking Bad,breaking bad,"It feels like classic Breaking Bad and there's a lot to explore going forward. All in all, we still hail to the king.",1
159,Breaking Bad,breaking bad,Gilligan and company have crafted one of TV's most compelling storylines in years.,1
160,Breaking Bad,breaking bad,"The show is an exercise in ethics and impossible choice, rooted in the heightened reality of our country's wracked and wretched West.",1
161,Breaking Bad,breaking bad,"Breaking Bad has always been full of whiplash twists and jaw-dropping cliffhangers, and this season doesn't ease back.",1
162,Breaking Bad,breaking bad,"There's something about this show that just transcends, and keeps on transcending, popular entertainment. It just keeps getting better and better, going higher and higher, until mere words, mere platitudes, can no longer do it justice.",1
163,Breaking Bad,breaking bad,Breaking Bad delivers a final season that is as gripping and rewarding as we've come to expect. It's the show that knocks.,1
164,Breaking Bad,breaking bad,"Breaking Bad is essential viewing: a Molotov cocktail of poverty, science and decline.",1
165,Breaking Bad,breaking bad,"We get the neatness and the uncertainty, which shows a Heisenberg level of mastery.",1
166,Breaking Bad,breaking bad,"Take a bow, Vince Gilligan.",1
167,Breaking Bad,breaking bad,"Because Breaking Bad is great art, the drama invites many different interpretations.",1
168,Breaking Bad,breaking bad,"If this last hour or so was a little too perfect for its own good, then that's because it left (almost) no loose end untied",1
169,Breaking Bad,breaking bad,"Breaking Bad did what any show would hope to do: bring its narrative to a natural, organic conclusion while also leaving us wishing the story could just go on and on.",1
170,Breaking Bad,breaking bad,"One way or another, you've got to figure Walt is going down. And, thanks to Cranston, he's going down in TV history as one of the medium's most fascinating, memorable and grandly tragic characters.",1
171,Breaking Bad,breaking bad,Breaking Bad is more than science. It's intelligent design.,1
172,Breaking Bad,breaking bad,"I could not be happier to see Breaking Bad return at the top of its game, tackling the beginning of the end with the same inventive, emotional spirit that defined the show during its greatest, most legendary periods.",1
173,Breaking Bad,breaking bad,"We can only hope the remaining seven episodes live up to everything ""Blood Money"" delivered.",1
174,Breaking Bad,breaking bad,Breaking Bad is inarguably one of the greatest serial dramas of all-time.,1
175,Breaking Bad,breaking bad,"If there is a single unsatisfying element in Breaking Bad's continuing brilliance, it's the absence of any intimate sense of Walt, any feeling for what goes on in his head or heart.",1
176,Breaking Bad,breaking bad,"[Vince] Gilligan said that a crucial part of his job was to keep people watching. That's the tricky challenge of the best serial television, and it's one that Breaking Bad has fulfilled, up to this moment, with unusual daring.",1
177,Breaking Bad,breaking bad,"The episode is riveting, as is the quiet power of Dean Norris's performance as Hank.",1
178,Breaking Bad,breaking bad,Breaking Bad is the quintessential series of our binge-watching TV era.,1
179,Breaking Bad,breaking bad,Everything's in place in this one episode. We just have to bite our fingernails down to nothing while we ride it out.,1
180,Breaking Bad,breaking bad,"No matter what happens, the end of Bad should be very good.",1
181,Breaking Bad,breaking bad,"It is a tremendous series, terrifically written and acted, with a black sense of humor unmatched by any other.",1
182,Breaking Bad,breaking bad,"The episode is as marvelous, deranged and unsettling as anything series creator/executive producer Vince Gilligan and his team have done.",1
183,Breaking Bad,breaking bad,"Directed by Bryan Cranston and written by Peter Gould, the episode, titled ""Blood Money,"" is lean and highly stylized, wasting no time picking up where the jolting mid-season cliffhanger, ""Gliding Over All,"" left off.",1
184,Breaking Bad,breaking bad,"Such awfulness begs for punishment, and Breaking Bad has never carried itself as a show that would deny the audience such a thing.",1
185,Breaking Bad,breaking bad,"What I will say about the first new episode-besides that it jams the accelerator on the plot as it steers toward the brick wall of its end date-is that it continues that investigation, with a new twist suggested by last year's midseason finale.",1
186,Breaking Bad,breaking bad,Creative confidence has long been a hallmark of Breaking Bad but the program has rarely seemed more sure of where it's going than it does right now.,1
187,Breaking Bad,breaking bad,[Breaking Bad] certainly the most ambitious in chronicling the path of a good person falling from grace when presented with the right circumstances.,1
188,Breaking Bad,breaking bad,It's going to be just as mesmerizingly terrifying to plummet down from the heights of power with Walt as it was last season to sink into the depths of powerlessness.,1
189,Breaking Bad,breaking bad,Breaking Bad is still a perfect model of filmed suspense.,1
190,Breaking Bad,breaking bad,"Simply put, there's no more unpredictable series, and its delicate handling of combustible ingredients will be admired and studied by writers for years to come.",1
191,Breaking Bad,breaking bad,"It's not a matter of wondering if Breaking Bad will be great, but where in the pantheon it will ultimately reside.",1
192,Breaking Bad,breaking bad,"Taut, efficient and directed with a scalpel, Breaking Bad remains a marvel.",1
193,Breaking Bad,breaking bad,Consistently great.,1
194,Breaking Bad,breaking bad,"Taut, chilling and measuredly paced for maximum impact. Gilligan and company keep on pushing Breaking Bad to new highs.",1
195,Breaking Bad,breaking bad,Mind-blowingly magnificent.,1
196,Breaking Bad,breaking bad,"Breaking Bad is one of the great shows of television's Golden Age, and the first two episodes of the show's fifth season will give viewers no reason to think otherwise.",1
197,Breaking Bad,breaking bad,Breaking Bad never makes viewers feel like they are watching scripted TV characters; the characters always feel real.,1
198,Breaking Bad,breaking bad,"There are so many reasons the show stands out from virtually any other series on TV: the performances, the writing, the direction and, most of all, the creative vision of Vince Gilligan.",1
199,Breaking Bad,breaking bad,Breaking Bad continues to demonstrate that it both is and is not different from the serious dramas to which it is often compared.,1
200,Breaking Bad,breaking bad,"Bad is too complex a series and too brilliantly distinctive a creation to be reduced to a simple ""Crime does not pay"" motto.",1
201,Breaking Bad,breaking bad,The creeping sense of dread has been part of what has made Breaking Bad so engrossing.,1
202,Breaking Bad,breaking bad,"It has plenty to say about the things humans are capable of and, like most great series, it rewards the careful viewer.",1
203,Breaking Bad,breaking bad,It might be 16 of the best upcoming hours on television.,1
204,Breaking Bad,breaking bad,We can't take our eyes away from the brilliant Cranston.,1
205,Breaking Bad,breaking bad,"Breaking Bad continues at the same disciplined, regimented pace, fussing over small details and picking at new threads, even with the end looming.",1
206,Breaking Bad,breaking bad,"The season five pre miere ""Live Free or Die"", more than maintains the series' record of excellence.",1
207,The Last Kingdom,the last kingdom,"Political intrigue and historical authenticity, not to mention decent acting, gave way to romantic slush, [and] unconvincing dialogue which could never make up its mind whether it wanted to be cod-Shakespearean or yoof-friendly.",0
208,The Last Kingdom,the last kingdom,"It’s the dramatic oppositions which fuel The Last Kingdom's formidable grip – risk versus reward, or the heady allure of power balanced against what has to be sacrificed to attain it.",1
209,The Last Kingdom,the last kingdom,The culmination of this epic journey will provide long-time fans more than enough to be satisfied with. Uhtred is a top-tier character.,1
